entry_time,exit_time,direction,entry_price,exit_price,size,pnl,fee,net_pnl,reason
2024-12-17 15:10:00,2024-12-17 16:05:00,long,2.5965,2.6179,1155.4015020219526,24.72559214327014,1.6635990756787984,23.06199306759134,tp
2024-12-17 22:45:00,2024-12-17 22:55:00,long,2.5495,2.5531,1218.6938479458547,4.387297852605135,1.7112959947548092,2.676001857850326,tp
2024-12-17 23:00:00,2024-12-17 23:05:00,long,2.532,2.5327,1229.0266823548693,0.8603186776485867,1.7120157331200978,-0.8516970554715111,tp
2024-12-17 23:10:00,2024-12-17 23:15:00,long,2.5324,2.5465,1223.7716638982527,17.255180460965363,1.7139839981642955,15.541196462801068,tp
2024-12-18 04:00:00,2024-12-18 04:10:00,long,2.5034,2.5029,1265.583956109845,-0.6327919780551339,1.742196546061032,-2.3749885241161657,tp
2024-12-18 04:20:00,2024-12-18 04:50:00,long,2.4912,2.4991,1263.517666263873,9.98178956348434,1.736711349868025,8.245078213616313,tp
2024-12-18 11:05:00,2024-12-18 12:25:00,short,2.5624,2.5547,1241.1194561491577,9.55661981234829,1.7438783310433394,7.8127414813049505,tp
2024-12-18 14:55:00,2024-12-18 15:15:00,long,2.4722,2.4799,1298.666179711765,9.99972958378093,1.7713092424869634,8.228420341293965,tp
2024-12-18 16:15:00,2024-12-18 16:30:00,long,2.4431,2.4494,1327.3609693560707,8.362374106943209,1.7881808770874177,6.5741932298557915,tp
2024-12-18 20:00:00,2024-12-18 20:05:00,long,2.3738,2.3257,1376.202141092953,-66.1953229865714,1.7603483257469346,-67.95567131231833,tp
2024-12-18 20:15:00,2024-12-18 20:20:00,long,2.3283,2.3418,1253.3034863195949,16.919597065314615,1.614242357344775,15.30535470796984,tp
2024-12-19 02:00:00,2024-12-19 02:05:00,long,2.2539,2.2489,1325.0670383969866,-6.625335191984792,1.6389687944580407,-8.264303986442833,tp
2024-12-19 02:10:00,2024-12-19 02:15:00,long,2.2229,2.2563,1321.2623214119776,44.130161535159885,1.6396402966910149,42.49052123846887,tp
2024-12-19 02:20:00,2024-12-19 02:25:00,long,2.2147,2.21,1418.4358048132008,-6.666648282622254,1.7241087207504457,-8.3907570033727,tp
2024-12-19 02:30:00,2024-12-19 02:45:00,long,2.2055,2.2358,1401.4133371192036,42.46282411471186,1.7233039665221135,40.73952014818974,tp
2024-12-19 10:00:00,2024-12-19 10:05:00,short,2.4066,2.401,1365.4180041099712,7.646340823016209,1.8031027453274224,5.8432380776887864,tp
2024-12-19 10:15:00,2024-12-19 10:25:00,short,2.407,2.3999,1373.574830874782,9.752381299210793,1.8130432301390143,7.939338069071779,tp
2024-12-19 10:40:00,2024-12-19 10:55:00,short,2.4212,2.4142,1378.1592900469568,9.647115030328248,1.82993368691725,7.817181343410998,tp
2024-12-19 15:00:00,2024-12-19 15:05:00,long,2.3159,2.306,1453.7367683310274,-14.3919940064772,1.8437743432742424,-16.235768349751442,tp
2024-12-19 15:10:00,2024-12-19 15:40:00,long,2.311,2.3197,1417.6857162826398,12.33386573165918,1.808733055833462,10.525132675825718,tp
2024-12-19 17:35:00,2024-12-19 17:40:00,long,2.2609,2.2622,1468.3920591622377,1.9089096769110248,1.826988083930248,0.08192159298077684,tp
2024-12-19 17:45:00,2024-12-19 17:50:00,long,2.2408,2.2171,1477.6720473075543,-35.020827521189446,1.8018806828470681,-36.822708204036516,tp
